index,Brand,Model,Type,Gender,Size,Color,Material,Price (USD),Number of Items Sold,Selling Price,City
42,Reebok,Zig Kinetica II,Running,Men,US 9.5,White,Mesh,$120.00 ,47,$239.99,Palermo
43,Converse,Jack Purcell,Casual,Men,US 10,White,Canvas,$65.00 ,26,$129.99,Genoa
44,Puma,Suede Classic,Casual,Women,US 8.5,Beige,Suede,$65.00 ,70,$129.99,Milan
45,Vans,Sk8-Hi,Skate,Men,US 8,Black/White,Suede/Canvas,$70.00 ,40,$269.99,Bari
46,New Balance,327,Casual,Women,US 7.5,Orange,Suede/Mesh,$100.00 ,76,$279.99,Bari
47,Asics,Gel-Kayano 28,Running,Women,US 7,White,Mesh,$160.00 ,57,$239.99,Florence
48,Fila,Original Fitness,Casual,Men,US 11,White/Navy,Leather,$70.00 ,5,$249.99,Turin
49,Skechers,Go Walk 5,Walking,Women,US 8,Black,Mesh,$60.00 ,23,$79.99,Genoa
50,Nike,Free RN 5.0,Running,Men,US 10,Grey,Mesh,$100.00 ,22,$239.99,Bari
51,Adidas,Adilette Cloudfoam,Slides,Women,US 6,Black,Synthetic,$35.00 ,74,$289.99,Bari
52,Reebok,Nano 9,Crossfit,Men,US 10.5,Black,Mesh,$130.00 ,28,$209.99,Palermo
53,Converse,Chuck 70,Casual,Women,US 7.5,Pink,Canvas,$85.00 ,98,$109.99,Naples
54,Puma,Clyde All Pro,Basketball,Men,US 9.5,Black/Red,Leather,$130.00 ,33,$289.99,Florence
55,Vans,Era,Skate,Women,US 6.5,White,Canvas,$55.00 ,1,$89.99,Naples
56,New Balance,Fresh Foam More v2,Running,Men,US 12,Black/Grey,Mesh,$165.00 ,22,$189.99,Milan
57,Asics,GT-2000 10,Running,Women,US 7,Blue,Mesh,$120.00 ,71,$289.99,Rome
58,Fila,Mindblower,Casual,Men,US 9.5,White/Blue,Leather/Synthetic,$75.00 ,83,$189.99,Milan
59,Skechers,Dynamight 2.0,Training,Women,US 9,Black,Mesh,$50.00 ,14,$259.99,Catania
60,Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 ,44,$169.99,Bologna
61,Adidas,NMD_R1,Lifestyle,Women,US 7,Pink,Primeknit,$130.00 ,57,$189.99,Bari
62,Reebok,Nano X1,Training,Men,US 9,Black,Knit,$130.00 ,100,$259.99,Palermo
63,Converse,Chuck 70,Casual,Women,US 8.5,Yellow,Canvas,$85.00 ,8,$249.99,Milan
64,Puma,Clyde All-Pro,Basketball,Men,US 10,Red,Leather,$130.00 ,68,$189.99,Bari
65,Vans,Sk8-Hi,Skate,Women,US 7,Black,Suede,$70.00 ,46,$189.99,Bologna
66,New Balance,Fresh Foam 1080v11,Running,Women,US 8,Green,Mesh,$150.00 ,5,$249.99,Bari
67,Asics,Gel-Quantum 360,Running,Men,US 11,Blue,Mesh,$170.00 ,11,$239.99,Palermo
68,Fila,D-Formation,Casual,Women,US 8.5,White,Leather,$65.00 ,76,$219.99,Bologna
69,Skechers,Max Cushioning,Running,Men,US 8.5,Black,Mesh,$90.00 ,54,$259.99,Bologna
70,Nike,Air Max 90,Lifestyle,Women,US 6,Grey,Leather,$120.00 ,13,$189.99,Bari
71,Adidas,Yeezy Boost 350,Lifestyle,Men,US 10,Black,Primeknit,$220.00 ,35,$259.99,Bari
72,Reebok,Classic Nylon,Casual,Women,US 7.5,Pink,Nylon,$65.00 ,60,$79.99,Catania
73,Converse,Jack Purcell,Casual,Men,US 9,White,Canvas,$65.00 ,37,$129.99,Turin
74,Puma,Calibrate Runner,Running,Women,US 9,Grey,Mesh,$120.00 ,84,$159.99,Bari
75,Vans,Era,Skate,Men,US 9.5,Red,Canvas,$50.00 ,91,$79.99,Florence
76,New Balance,FuelCell Echo,Running,Women,US 7,Pink,Mesh,$100.00 ,57,$119.99,Catania
77,Asics,GT-2000 9,Running,Men,US 10.5,Black,Mesh,$120.00 ,13,$149.99,Genoa
78,Fila,Original Fitness,Casual,Women,US 7,White,Leather,$60.00 ,59,$129.99,Palermo
79,Skechers,Elite Flex,Walking,Men,US 10,Navy,Mesh,$65.00 ,37,$259.99,Genoa
80,Nike,Blazer Low,Lifestyle,Women,US 7.5,White,Leather,$85.00 ,38,$109.99,Bologna
81,Nike,Air Force 1,Basketball,Men,US 10,White,Leather,$90.00 ,69,$269.99,Florence
82,Adidas,NMD_R1,Lifestyle,Men,US 8.5,Black,Primeknit,$140.00 ,40,$289.99,Genoa
83,Reebok,Nano X1,Training,Women,US 7.5,Grey,Flexweave,$130.00 ,53,$239.99,Bari
84,Converse,Jack Purcell,Casual,Men,US 9,White,Canvas,$65.00 ,74,$199.99,Catania
85,Puma,Clyde All-Pro,Basketball,Men,US 11,Red/White,Leather,$120.00 ,16,$139.99,Bologna
86,Vans,SK8-Hi,Skate,Women,US 6,Black,Suede/Canvas,$70.00 ,10,$219.99,Naples
87,New Balance,574,Casual,Men,US 10,Navy,Suede/Mesh,$80.00 ,18,$109.99,Genoa
88,Asics,Gel-Lyte III NS,Casual,Women,US 8,Pink,Mesh,$100.00 ,49,$279.99,Rome
89,Fila,Mindblower,Fashion,Men,US 9.5,White,Leather/Synthetic,$75.00 ,63,$239.99,Florence
90,Skechers,Max Cushioning,Running,Women,US 7,Black,Mesh,$75.00 ,34,$249.99,Genoa
91,Nike,React Infinity Run Flyknit 2,Running,Men,US 9.5,Blue,Flyknit,$160.00 ,63,$299.99,Florence
92,Adidas,Harden Stepback,Basketball,Men,US 12,Grey,Synthetic,$80.00 ,75,$229.99,Bologna
93,Reebok,Classic Nylon,Casual,Women,US 7.5,Black,Nylon,$65.00 ,28,$299.99,Naples
94,Converse,Chuck 70,Casual,Men,US 8,Yellow,Canvas,$85.00 ,63,$229.99,Rome
95,Puma,Calibrate Runner,Running,Men,US 10.5,Black/Yellow,Mesh,$80.00 ,34,$99.99,Bologna
96,Vans,Era,Skate,Women,US 7,Green,Canvas,$55.00 ,57,$269.99,Naples
97,New Balance,FuelCell Propel V3,Running,Women,US 6.5,Purple,Mesh,$100.00 ,24,$159.99,Bologna
98,Asics,Gel-Kayano 28 Lite-Show,Running,Men,US 11,Black,Mesh,$170.00 ,31,$259.99,Rome
99,Fila,Trailblazer,Fashion,Women,US 8,White/Pink,Leather,$65.00 ,88,$279.99,Naples
100,Skechers,Summits - Quick Getaway,Walking,Men,US 9,Grey,Mesh,$60.00 ,27,$269.99,Milan
101,Nike,Air Zoom Tempo NEXT% FlyEase,Running,Women,US 8.5,White,Mesh,$200.00 ,39,$259.99,Turin
102,Nike,React Infinity Run 2,Running,Women,US 7.5,Grey,Mesh,$160.00 ,23,$179.99,Bologna
103,Adidas,Superstar,Casual,Men,US 8.5,Black/White,Leather,$80.00 ,81,$229.99,Catania
104,Reebok,Zig Kinetica Horizon,Running,Women,US 6.5,Blue,Mesh,$120.00 ,89,$229.99,Catania
105,Converse,Chuck 70,Casual,Men,US 9,White,Canvas,$85.00 ,37,$119.99,Rome
106,Puma,Cali Sport,Lifestyle,Women,US 9.5,White,Leather,$90.00 ,74,$299.99,Catania
107,Vans,Sk8-Hi,Skate,Men,US 10,Black/White,Suede/Canvas,$70.00 ,71,$279.99,Palermo
108,New Balance,990v5,Running,Men,US 9.5,Grey,Suede/Mesh,$175.00 ,11,$249.99,Genoa
109,Asics,Gel-Venture 8,Trail,Women,US 8.5,Blue,Mesh,$70.00 ,80,$199.99,Bari
110,Fila,Mindblower,Fashion,Men,US 11,White,Synthetic,$75.00 ,56,$299.99,Bari
111,Skechers,Go Run Mojo,Running,Women,US 7,Black,Mesh,$60.00 ,44,$169.99,Catania
112,Nike,Air Zoom Pegasus 38,Running,Men,US 11,Black,Mesh,$120.00 ,66,$219.99,Palermo
113,Adidas,Ultraboost 5.0 DNA,Running,Women,US 8.5,Grey,Primeknit,$180.00 ,28,$299.99,Bari
114,Reebok,Classic Leather Legacy,Casual,Men,US 9.5,White,Leather,$80.00 ,39,$239.99,Florence
115,Converse,Jack Purcell,Casual,Women,US 6,Navy,Canvas,$65.00 ,15,$139.99,Bari
116,Puma,RS-Fast Tech,Lifestyle,Men,US 9.5,Black/Red,Synthetic,$110.00 ,29,$199.99,Genoa
117,Vans,Era,Skate,Women,US 7.5,Black/White,Canvas,$50.00 ,62,$89.99,Genoa
118,New Balance,Fresh Foam Roav,Running,Men,US 10,Red,Mesh,$80.00 ,27,$219.99,Florence
119,Asics,GT-2000 10,Running,Women,US 9,Black,Mesh,$120.00 ,57,$229.99,Bari
120,Fila,Original Fitness,Fashion,Men,US 10,White,Leather,$60.00 ,65,$259.99,Catania
121,Skechers,Max Cushioning Elite,Walking,Women,US 8,Navy,Mesh,$80.00 ,58,$259.99,Naples
122,Nike,Air Force 1 '07,Basketball,Men,US 11,White,Leather,$90.00 ,11,$219.99,Rome
123,Adidas,NMD_R1,Running,Women,US 8,Pink,Primeknit,$140.00 ,31,$249.99,Palermo
124,Reebok,Nano 9,Training,Men,US 9.5,Black/White,Mesh,$130.00 ,78,$149.99,Bologna
125,Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$65.00 ,95,$289.99,Turin
126,Puma,Calibrate Runner,Running,Men,US 10,Black/Grey,Mesh/Synthetic,$90.00 ,65,$159.99,Bari
127,Vans,Sk8-Hi,Skate,Women,US 9,Black/White,Canvas,$65.00 ,23,$249.99,Rome
128,New Balance,FuelCell Rebel v2,Running,Men,US 9.5,Blue/White,Mesh,$130.00 ,77,$249.99,Genoa
129,Asics,Gel-Kinsei OG,Running,Women,US 7.5,White/Grey,Mesh/Leather,$180.00 ,63,$289.99,Naples
130,Fila,Spaghetti,Fashion,Men,US 8,White/Navy,Leather/Synthetic,$65.00 ,82,$209.99,Palermo
131,Skechers,Go Walk 5,Walking,Women,US 6.5,Black,Mesh,$60.00 ,85,$229.99,Genoa
132,Nike,ZoomX Invincible Run,Running,Men,US 11,Black,Mesh/Synthetic,$180.00 ,31,$209.99,Florence
133,Adidas,Ultraboost DNA,Running,Women,US 8,Grey,Primeknit,$180.00 ,46,$289.99,Catania
134,Reebok,Classic Nylon,Casual,Men,US 10.5,Black,Nylon,$60.00 ,45,$289.99,Milan
135,Converse,Run Star Hike,Casual,Women,US 8,Cream,Canvas,$110.00 ,81,$179.99,Florence
136,Puma,Suede Classic+,Casual,Men,US 8,Red/White,Suede,$65.00 ,60,$99.99,Florence
137,Vans,Era,Skate,Women,US 7.5,Green,Canvas,$50.00 ,49,$229.99,Bologna
138,New Balance,Fresh Foam More v3,Running,Men,US 11,Black/Grey,Mesh/Synthetic,$165.00 ,98,$249.99,Turin
139,Asics,Gel-Quantum 90 3,Running,Women,US 9,Pink,Mesh/Synthetic,$90.00 ,65,$149.99,Catania
140,Fila,Original Fitness,Casual,Men,US 9.5,White/Navy/Red,Leather,$60.00 ,32,$139.99,Florence
141,Skechers,Go Run Mojo Pep,Running,Women,US 8.5,Black/White,Mesh,$55 ,75,$249.99,Milan
142,Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 ,70,$129.99,Genoa
143,Adidas,NMD_R1,Running,Women,US 8.5,Pink,Primeknit,$130.00 ,67,$189.99,Turin
144,Reebok,Zig Kinetica II,Running,Men,US 9,Blue,Mesh,$120.00 ,20,$299.99,Bologna
145,Converse,Chuck 70,Casual,Women,US 7,Black,Canvas,$85.00 ,70,$219.99,Genoa
146,Puma,Clyde All-Pro,Basketball,Men,US 10,White,Leather,$130.00 ,70,$189.99,Bari
147,Vans,Sk8-Hi,Skate,Women,US 9,Black/White,Suede/Canvas,$65.00 ,95,$129.99,Rome
148,New Balance,574 Classic,Casual,Men,US 10.5,Grey,Suede/Mesh,$80.00 ,73,$279.99,Bari
149,Asics,Gel-Quantum 90 3,Running,Women,US 7.5,Black,Mesh,$70.00 ,68,$279.99,Turin
150,Fila,Mindblower,Fashion,Men,US 11,Grey,Leather/Synthetic,$75.00 ,54,$249.99,Genoa
151,Skechers,Max Cushioning Premier,Running,Women,US 7.5,Pink,Mesh,$90.00 ,63,$289.99,Bologna
152,Nike,Blazer Mid '77,Casual,Men,US 9.5,White,Leather,$100.00 ,27,$199.99,Naples
153,Adidas,Superstar,Casual,Women,US 7.5,Black/White,Leather,$85.00 ,36,$119.99,Genoa
154,Reebok,DMX Thrill,Running,Men,US 10,Black,Mesh,$70.00 ,59,$209.99,Naples
155,Converse,Jack Purcell,Casual,Women,US 8.5,White,Canvas,$65.00 ,94,$229.99,Florence
156,Puma,Calibrate Runner,Running,Men,US 9.5,Black/Yellow,Mesh,$140.00 ,5,$159.99,Palermo
157,Vans,Slip-On,Skate,Women,US 6.5,Checkered,Canvas,$50.00 ,30,$199.99,Catania
158,New Balance,Fresh Foam Beacon V3,Running,Men,US 11,Blue,Mesh,$120.00 ,9,$259.99,Milan
159,Asics,Gel-Venture 8,Trail,Women,US 9.5,Grey,Mesh,$70.00 ,3,$129.99,Naples
160,Fila,F-13,Fashion,Men,US 10,White,Leather,$70.00 ,43,$279.99,Bologna
161,Skechers,Equalizer 4.0,Training,Women,US 8.5,Black,Mesh,$65.00 ,58,$119.99,Catania
162,Nike,KD13,Basketball,Men,US 11,Blue,Mesh,$150.00 ,2,$159.99,Catania
163,Nike,React Infinity Run Flyknit 2,Running,Women,US 9.5,Black/White,Flyknit,$160.00 ,17,$229.99,Florence
164,Adidas,NMD_R1,Lifestyle,Men,US 11.5,Grey,Primeknit,$140.00 ,68,$189.99,Florence
165,Reebok,Aztrek 96,Casual,Women,US 8.5,Yellow/Black,Leather/Synthetic,$90.00 ,84,$299.99,Florence
166,Converse,Jack Purcell,Casual,Men,US 9,Navy/White,Canvas,$70.00 ,24,$119.99,Florence
167,Puma,Calibrate Runner,Running,Men,US 10,Black,Mesh,$100.00 ,72,$219.99,Bologna
168,Vans,Sk8-Hi,Skate,Women,US 7.5,Black/White,Suede/Canvas,$65.00 ,50,$249.99,Rome
169,New Balance,327,Casual,Men,US 10,Green,Suede/Leather,$90.00 ,72,$179.99,Bologna
170,Asics,GT-2000 10,Running,Women,US 8,Blue,Mesh,$120.00 ,56,$159.99,Naples
171,Fila,Trailblazer,Fashion,Men,US 9,White/Grey,Leather,$85.00 ,15,$189.99,Rome
172,Skechers,Max Cushioning Premier,Running,Women,US 7,Grey/Pink,Mesh,$105.00 ,89,$139.99,Catania
173,Nike,Blazer Mid '77,Casual,Men,US 8.5,Green,Leather,$100.00 ,44,$249.99,Palermo
174,Adidas,Ultraboost 6.0,Running,Women,US 7.5,Black/White,Primeknit,$180.00 ,94,$249.99,Milan
175,Reebok,Classic Nylon,Casual,Men,US 11.5,Blue/White,Nylon,$60.00 ,86,$209.99,Bari
176,Converse,Pro Leather,Casual,Women,US 9.5,White/Green,Leather,$75.00 ,57,$139.99,Bologna
177,Puma,Clyde All-Pro,Basketball,Men,US 9.5,Black,Leather/Synthetic,$130.00 ,54,$189.99,Genoa
178,Vans,Era 95 DX,Skate,Women,US 6.5,Black/White,Canvas,$65.00 ,53,$219.99,Milan
179,New Balance,Fresh Foam More v3,Running,Men,US 10,Black/Grey,Mesh,$165.00 ,81,$199.99,Bari
180,Asics,Gel-Quantum 360 6,Running,Women,US 9,Grey/Green,Mesh,$180.00 ,51,$289.99,Milan
181,Fila,Spaghetti,Basketball,Men,US 10.5,White,Leather,$75.00 ,96,$219.99,Turin
182,Skechers,Uno Bold Move,Casual,Women,US 8.5,Black/White,Synthetic,$70.00 ,22,$229.99,Genoa
183,Nike,Air Force 1,Basketball,Men,US 10,White,Leather,$100.00 ,35,$119.99,Naples
184,Adidas,NMD_R1,Lifestyle,Women,US 8,Grey,Primeknit,$140.00 ,29,$289.99,Bologna
185,Reebok,Nano X1,Training,Men,US 9.5,Black,Knit,$130.00 ,13,$149.99,Turin
186,Converse,Jack Purcell,Casual,Women,US 6.5,Navy,Canvas,$65.00 ,18,$189.99,Palermo
187,Puma,Calibrate Runner,Running,Men,US 11,Black,Mesh,$80.00 ,78,$169.99,Bologna
188,Vans,Sk8-Hi,Skate,Women,US 7.5,Black/White,Canvas/Suede,$70.00 ,23,$139.99,Catania
189,New Balance,327,Lifestyle,Men,US 10,Beige,Suede/Mesh,$100.00 ,92,$179.99,Bari
190,Asics,Gel-Excite 8,Running,Women,US 9,Pink,Mesh,$75.00 ,19,$279.99,Florence
191,Fila,Memory Fresh 2,Walking,Men,US 10,White,Synthetic,$60.00 ,90,$219.99,Catania
192,Skechers,Energy Burst,Running,Women,US 8,Black,Mesh,$70.00 ,94,$209.99,Naples
193,Nike,Flyknit Trainer,Running,Men,US 10,Black/White,Flyknit,$150.00 ,89,$169.99,Turin
194,Adidas,Ultraboost 4.0,Running,Women,US 7,Blue,Primeknit,$180.00 ,50,$289.99,Palermo
195,Reebok,Floatride Energy,Running,Men,US 10.5,Grey,Mesh,$100.00 ,66,$179.99,Milan
196,Converse,Chuck 70 High,Casual,Women,US 9,Pink,Canvas,$85.00 ,74,$109.99,Catania
197,Puma,Clyde All-Pro,Basketball,Men,US 9,White,Leather,$130.00 ,16,$269.99,Catania
198,Vans,Era,Skate,Women,US 8.5,Black,Canvas,$50.00 ,81,$219.99,Milan
199,New Balance,Fresh Foam Beacon v3,Running,Men,US 12,Blue,Mesh,$120.00 ,83,$169.99,Rome
200,Asics,Gel-Kayano 27,Running,Women,US 8.5,Black,Mesh,$160.00 ,92,$239.99,Naples
201,Fila,Trailblazer,Fashion,Men,US 11,Black,Leather,$75.00 ,44,$239.99,Naples
202,Skechers,Equalizer 4.0,Walking,Women,US 7,Grey,Mesh,$60.00 ,93,$149.99,Bologna
203,Nike,Blazer Mid '77,Casual,Men,US 9.5,White/Red/Navy,Leather,$100.00 ,38,$139.99,Catania
204,Adidas,Superstar,Casual,Women,US 7.5,White/Black,Leather,$80.00 ,41,$219.99,Florence
205,Reebok,Zig Kinetica,Running,Men,US 11.5,White/Black,Mesh,$120.00 ,90,$179.99,Rome
206,Converse,Jack Purcell,Casual,Men,US 8.5,White/Navy,Canvas,$70.00 ,11,$99.99,Genoa
207,Puma,Suede Classic,Casual,Women,US 8.5,Pink,Suede,$65.00 ,43,$209.99,Palermo
208,Vans,Sk8-Hi,Skate,Men,US 10,Black/White,Canvas,$70.00 ,30,$169.99,Turin
209,New Balance,Fresh Foam More,Running,Women,US 9,Grey/Purple,Mesh,$165.00 ,56,$199.99,Palermo
210,Asics,Gel-Kayano 27,Running,Men,US 10.5,Black/Green,Mesh,$160.00 ,67,$269.99,Florence
211,Fila,Trailblazer,Fashion,Women,US 7,Cream,Synthetic,$75.00 ,18,$129.99,Naples
212,Skechers,D'Lites Fresh Start,Walking,Men,US 9.5,White/Black,Leather,$70.00 ,3,$109.99,Milan
213,Nike,Air Force 1,Casual,Women,US 8.5,White/Red,Leather,$90.00 ,62,$269.99,Bari
214,Adidas,NMD_R1,Casual,Men,US 9,Black/White,Primeknit,$130.00 ,71,$269.99,Milan
215,Reebok,Club C 85 MU,Casual,Men,US 11,White/Black,Leather,$75.00 ,39,$229.99,Rome
216,Converse,Chuck 70,Casual,Women,US 8.5,Cream,Canvas,$85.00 ,57,$159.99,Florence
217,Puma,Calibrate Runner,Running,Men,US 8.5,Black/Blue,Mesh,$120.00 ,64,$239.99,Naples
218,Vans,Era,Skate,Women,US 7,Pink/White,Canvas,$50.00 ,83,$209.99,Genoa
219,New Balance,FuelCell Propel v2,Running,Men,US 9,Blue/Green,Mesh,$100.00 ,100,$279.99,Turin
220,Asics,Gel-Cumulus 23,Running,Women,US 8.5,Pink/White,Mesh,$120.00 ,34,$229.99,Bologna
221,Fila,Mindblower,Fashion,Men,US 10,White/Black,Synthetic,$75.00 ,56,$89.99,Bari
222,Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 ,50,$209.99,Florence
223,Adidas,NMD_R1,Lifestyle,Women,US 8,Pink,Primeknit,$140.00 ,43,$209.99,Catania
224,Reebok,Nano X1,Training,Men,US 9.5,Grey,Knit,$130.00 ,54,$189.99,Catania
225,Converse,All Star Hi,Casual,Women,US 7,Black,Canvas,$60.00 ,88,$269.99,Florence
226,Puma,Calibrate Runner,Running,Men,US 10.5,Blue,Mesh,$90.00 ,48,$269.99,Genoa
227,Vans,Sk8-Hi,Skate,Women,US 6,Red/White,Canvas,$70.00 ,8,$169.99,Bologna
228,New Balance,327,Lifestyle,Men,US 8.5,Green,Suede/Mesh,$100.00 ,33,$229.99,Catania
229,Asics,Gel-Quantum 180,Running,Women,US 7.5,Grey,Mesh,$120.00 ,13,$179.99,Rome
230,Fila,Mindblower,Fashion,Men,US 9,White,Leather,$70.00 ,79,$239.99,Catania
231,Skechers,Max Cushioning,Walking,Women,US 9,Black,Mesh,$75.00 ,18,$189.99,Milan
232,Nike,React Infinity Run Flyknit,Running,Men,US 12,Black,Flyknit,$160.00 ,40,$169.99,Catania
233,Adidas,Adilette Comfort,Slides,Women,US 6,Black,Synthetic,$35.00 ,89,$139.99,Turin
234,Reebok,Classic Nylon,Casual,Men,US 10,Grey,Nylon,$65.00 ,21,$89.99,Bologna
235,Converse,Chuck 70,Casual,Women,US 8,Cream,Canvas,$85.00 ,83,$109.99,Turin
236,Puma,RS-X3 Puzzle,Lifestyle,Men,US 8.5,Black/Yellow,Synthetic,$110.00 ,1,$139.99,Milan
237,Vans,Era,Skate,Women,US 7,Pink,Canvas,$55.00 ,46,$209.99,Milan
238,New Balance,990v4,Running,Men,US 9.5,Grey,Suede/Mesh,$175.00 ,1,$229.99,Genoa
239,Asics,GT-2000 10,Running,Women,US 9,Blue,Mesh,$120.00 ,4,$189.99,Turin
240,Fila,D-Formation,Fashion,Men,US 11,White,Leather,$65.00 ,97,$89.99,Milan
241,Skechers,Equalizer 4.0,Training,Women,US 8.5,Black,Knit,$70.00 ,100,$199.99,Catania
242,Nike,Air Zoom Pegasus 38,Running,Men,US 10.5,Blue,Mesh,$120.00 ,98,$159.99,Bari
243,Nike,Air Force 1 '07,Basketball,Men,US 11,White,Leather,$90.00 ,52,$139.99,Bari
244,Adidas,Yeezy Boost 350 V2,Fashion,Men,US 9,Zebra,Primeknit,$220.00 ,12,$249.99,Rome
245,Reebok,Nano X1 Adventure,Training,Men,US 10,Khaki,Textile/Leather,$130.00 ,40,$159.99,Bologna
246,Converse,Jack Purcell Low,Casual,Women,US 7.5,Pink,Canvas,$65.00 ,4,$89.99,Naples
247,Puma,Clyde All-Pro,Basketball,Men,US 10.5,Black/White,Leather/Suede,$130.00 ,54,$199.99,Milan
248,Vans,Sk8-Hi,Skate,Women,US 9,Checkerboard,Canvas,$70.00 ,48,$169.99,Genoa
249,New Balance,Fresh Foam Hierro v6,Trail,Men,US 9.5,Grey/Yellow,Synthetic/Mesh,$135.00 ,3,$199.99,Bari
250,Asics,Gel-Quantum 180 5,Running,Women,US 8,Pink,Mesh,$120.00 ,92,$179.99,Catania
251,Fila,D-Formation,Fashion,Men,US 11,Black,Leather,$65.00 ,92,$119.99,Bologna
252,Skechers,Arch Fit Refine,Walking,Women,US 6.5,Navy,Mesh,$65.00 ,46,$99.99,Bari
253,Nike,Air Zoom Pegasus 38,Running,Men,US 12,Blue,Mesh,$120.00 ,70,$239.99,Bologna
