index,Brand,Model,Type,Gender,Size,Color,Material,Price (USD),Number of Items Sold,Selling Price,City
41,Adidas,NMD_R1,Running,Women,US 9,Black,Knit,$140.00 ,64,$269.99,Bologna
42,Reebok,Zig Kinetica II,Running,Men,US 9.5,White,Mesh,$120.00 ,74,$219.99,Bari
43,Converse,Jack Purcell,Casual,Men,US 10,White,Canvas,$65.00 ,11,$159.99,Catania
44,Puma,Suede Classic,Casual,Women,US 8.5,Beige,Suede,$65.00 ,21,$109.99,Bologna
45,Vans,Sk8-Hi,Skate,Men,US 8,Black/White,Suede/Canvas,$70.00 ,60,$299.99,Bari
46,New Balance,327,Casual,Women,US 7.5,Orange,Suede/Mesh,$100.00 ,38,$129.99,Catania
47,Asics,Gel-Kayano 28,Running,Women,US 7,White,Mesh,$160.00 ,91,$289.99,Palermo
48,Fila,Original Fitness,Casual,Men,US 11,White/Navy,Leather,$70.00 ,66,$169.99,Palermo
49,Skechers,Go Walk 5,Walking,Women,US 8,Black,Mesh,$60.00 ,30,$219.99,Turin
50,Nike,Free RN 5.0,Running,Men,US 10,Grey,Mesh,$100.00 ,89,$289.99,Genoa
51,Adidas,Adilette Cloudfoam,Slides,Women,US 6,Black,Synthetic,$35.00 ,37,$199.99,Bologna
52,Reebok,Nano 9,Crossfit,Men,US 10.5,Black,Mesh,$130.00 ,74,$279.99,Palermo
53,Converse,Chuck 70,Casual,Women,US 7.5,Pink,Canvas,$85.00 ,35,$159.99,Palermo
54,Puma,Clyde All Pro,Basketball,Men,US 9.5,Black/Red,Leather,$130.00 ,24,$289.99,Palermo
55,Vans,Era,Skate,Women,US 6.5,White,Canvas,$55.00 ,65,$119.99,Bologna
56,New Balance,Fresh Foam More v2,Running,Men,US 12,Black/Grey,Mesh,$165.00 ,25,$279.99,Palermo
57,Asics,GT-2000 10,Running,Women,US 7,Blue,Mesh,$120.00 ,28,$299.99,Milan
58,Fila,Mindblower,Casual,Men,US 9.5,White/Blue,Leather/Synthetic,$75.00 ,29,$299.99,Florence
59,Skechers,Dynamight 2.0,Training,Women,US 9,Black,Mesh,$50.00 ,80,$109.99,Genoa
60,Nike,Air Force 1,Basketball,Men,US 11,White,Leather,$90.00 ,49,$239.99,Bologna
61,Adidas,NMD_R1,Lifestyle,Women,US 7,Pink,Primeknit,$130.00 ,3,$149.99,Turin
62,Reebok,Nano X1,Training,Men,US 9,Black,Knit,$130.00 ,55,$179.99,Genoa
63,Converse,Chuck 70,Casual,Women,US 8.5,Yellow,Canvas,$85.00 ,67,$269.99,Rome
64,Puma,Clyde All-Pro,Basketball,Men,US 10,Red,Leather,$130.00 ,30,$279.99,Catania
65,Vans,Sk8-Hi,Skate,Women,US 7,Black,Suede,$70.00 ,54,$159.99,Milan
66,New Balance,Fresh Foam 1080v11,Running,Women,US 8,Green,Mesh,$150.00 ,49,$279.99,Turin
67,Asics,Gel-Quantum 360,Running,Men,US 11,Blue,Mesh,$170.00 ,9,$259.99,Bologna
68,Fila,D-Formation,Casual,Women,US 8.5,White,Leather,$65.00 ,16,$269.99,Genoa
69,Skechers,Max Cushioning,Running,Men,US 8.5,Black,Mesh,$90.00 ,86,$229.99,Milan
70,Nike,Air Max 90,Lifestyle,Women,US 6,Grey,Leather,$120.00 ,99,$169.99,Palermo
71,Adidas,Yeezy Boost 350,Lifestyle,Men,US 10,Black,Primeknit,$220.00 ,70,$259.99,Bologna
72,Reebok,Classic Nylon,Casual,Women,US 7.5,Pink,Nylon,$65.00 ,99,$289.99,Bari
73,Converse,Jack Purcell,Casual,Men,US 9,White,Canvas,$65.00 ,49,$139.99,Palermo
74,Puma,Calibrate Runner,Running,Women,US 9,Grey,Mesh,$120.00 ,13,$249.99,Milan
75,Vans,Era,Skate,Men,US 9.5,Red,Canvas,$50.00 ,2,$69.99,Milan
76,New Balance,FuelCell Echo,Running,Women,US 7,Pink,Mesh,$100.00 ,36,$239.99,Turin
77,Asics,GT-2000 9,Running,Men,US 10.5,Black,Mesh,$120.00 ,17,$169.99,Bologna
78,Fila,Original Fitness,Casual,Women,US 7,White,Leather,$60.00 ,20,$189.99,Bologna
79,Skechers,Elite Flex,Walking,Men,US 10,Navy,Mesh,$65.00 ,95,$159.99,Catania
80,Nike,Blazer Low,Lifestyle,Women,US 7.5,White,Leather,$85.00 ,74,$209.99,Bari
81,Nike,Air Force 1,Basketball,Men,US 10,White,Leather,$90.00 ,28,$279.99,Genoa
82,Adidas,NMD_R1,Lifestyle,Men,US 8.5,Black,Primeknit,$140.00 ,30,$249.99,Palermo
83,Reebok,Nano X1,Training,Women,US 7.5,Grey,Flexweave,$130.00 ,80,$149.99,Rome
84,Converse,Jack Purcell,Casual,Men,US 9,White,Canvas,$65.00 ,13,$269.99,Bologna
85,Puma,Clyde All-Pro,Basketball,Men,US 11,Red/White,Leather,$120.00 ,96,$189.99,Rome
86,Vans,SK8-Hi,Skate,Women,US 6,Black,Suede/Canvas,$70.00 ,8,$149.99,Palermo
87,New Balance,574,Casual,Men,US 10,Navy,Suede/Mesh,$80.00 ,93,$229.99,Bologna
88,Asics,Gel-Lyte III NS,Casual,Women,US 8,Pink,Mesh,$100.00 ,25,$189.99,Rome
89,Fila,Mindblower,Fashion,Men,US 9.5,White,Leather/Synthetic,$75.00 ,71,$269.99,Bari
90,Skechers,Max Cushioning,Running,Women,US 7,Black,Mesh,$75.00 ,12,$279.99,Catania
91,Nike,React Infinity Run Flyknit 2,Running,Men,US 9.5,Blue,Flyknit,$160.00 ,12,$289.99,Bologna
92,Adidas,Harden Stepback,Basketball,Men,US 12,Grey,Synthetic,$80.00 ,19,$289.99,Turin
93,Reebok,Classic Nylon,Casual,Women,US 7.5,Black,Nylon,$65.00 ,89,$229.99,Bari
94,Converse,Chuck 70,Casual,Men,US 8,Yellow,Canvas,$85.00 ,96,$149.99,Milan
95,Puma,Calibrate Runner,Running,Men,US 10.5,Black/Yellow,Mesh,$80.00 ,81,$169.99,Catania
96,Vans,Era,Skate,Women,US 7,Green,Canvas,$55.00 ,3,$69.99,Milan
97,New Balance,FuelCell Propel V3,Running,Women,US 6.5,Purple,Mesh,$100.00 ,76,$219.99,Florence
98,Asics,Gel-Kayano 28 Lite-Show,Running,Men,US 11,Black,Mesh,$170.00 ,73,$249.99,Bari
99,Fila,Trailblazer,Fashion,Women,US 8,White/Pink,Leather,$65.00 ,9,$179.99,Genoa
100,Skechers,Summits - Quick Getaway,Walking,Men,US 9,Grey,Mesh,$60.00 ,19,$209.99,Bologna
101,Nike,Air Zoom Tempo NEXT% FlyEase,Running,Women,US 8.5,White,Mesh,$200.00 ,4,$249.99,Catania
102,Nike,React Infinity Run 2,Running,Women,US 7.5,Grey,Mesh,$160.00 ,27,$289.99,Turin
103,Adidas,Superstar,Casual,Men,US 8.5,Black/White,Leather,$80.00 ,27,$139.99,Milan
104,Reebok,Zig Kinetica Horizon,Running,Women,US 6.5,Blue,Mesh,$120.00 ,73,$289.99,Catania
105,Converse,Chuck 70,Casual,Men,US 9,White,Canvas,$85.00 ,57,$209.99,Milan
106,Puma,Cali Sport,Lifestyle,Women,US 9.5,White,Leather,$90.00 ,62,$209.99,Florence
107,Vans,Sk8-Hi,Skate,Men,US 10,Black/White,Suede/Canvas,$70.00 ,30,$79.99,Rome
108,New Balance,990v5,Running,Men,US 9.5,Grey,Suede/Mesh,$175.00 ,46,$299.99,Palermo
109,Asics,Gel-Venture 8,Trail,Women,US 8.5,Blue,Mesh,$70.00 ,47,$189.99,Bari
110,Fila,Mindblower,Fashion,Men,US 11,White,Synthetic,$75.00 ,65,$89.99,Bari
111,Skechers,Go Run Mojo,Running,Women,US 7,Black,Mesh,$60.00 ,67,$229.99,Florence
112,Nike,Air Zoom Pegasus 38,Running,Men,US 11,Black,Mesh,$120.00 ,19,$289.99,Palermo
113,Adidas,Ultraboost 5.0 DNA,Running,Women,US 8.5,Grey,Primeknit,$180.00 ,83,$229.99,Genoa
114,Reebok,Classic Leather Legacy,Casual,Men,US 9.5,White,Leather,$80.00 ,88,$119.99,Naples
115,Converse,Jack Purcell,Casual,Women,US 6,Navy,Canvas,$65.00 ,47,$179.99,Milan
116,Puma,RS-Fast Tech,Lifestyle,Men,US 9.5,Black/Red,Synthetic,$110.00 ,99,$199.99,Florence
117,Vans,Era,Skate,Women,US 7.5,Black/White,Canvas,$50.00 ,54,$219.99,Bologna
118,New Balance,Fresh Foam Roav,Running,Men,US 10,Red,Mesh,$80.00 ,88,$149.99,Turin
119,Asics,GT-2000 10,Running,Women,US 9,Black,Mesh,$120.00 ,96,$279.99,Turin
120,Fila,Original Fitness,Fashion,Men,US 10,White,Leather,$60.00 ,27,$139.99,Bologna
121,Skechers,Max Cushioning Elite,Walking,Women,US 8,Navy,Mesh,$80.00 ,63,$139.99,Milan
122,Nike,Air Force 1 '07,Basketball,Men,US 11,White,Leather,$90.00 ,69,$249.99,Catania
123,Adidas,NMD_R1,Running,Women,US 8,Pink,Primeknit,$140.00 ,9,$249.99,Catania
124,Reebok,Nano 9,Training,Men,US 9.5,Black/White,Mesh,$130.00 ,13,$149.99,Bari
125,Converse,Jack Purcell,Casual,Women,US 7.5,White,Canvas,$65.00 ,38,$109.99,Catania
126,Puma,Calibrate Runner,Running,Men,US 10,Black/Grey,Mesh/Synthetic,$90.00 ,10,$119.99,Bologna
127,Vans,Sk8-Hi,Skate,Women,US 9,Black/White,Canvas,$65.00 ,29,$209.99,Rome
128,New Balance,FuelCell Rebel v2,Running,Men,US 9.5,Blue/White,Mesh,$130.00 ,29,$199.99,Rome
129,Asics,Gel-Kinsei OG,Running,Women,US 7.5,White/Grey,Mesh/Leather,$180.00 ,25,$209.99,Palermo
130,Fila,Spaghetti,Fashion,Men,US 8,White/Navy,Leather/Synthetic,$65.00 ,40,$179.99,Rome
131,Skechers,Go Walk 5,Walking,Women,US 6.5,Black,Mesh,$60.00 ,12,$289.99,Bari
132,Nike,ZoomX Invincible Run,Running,Men,US 11,Black,Mesh/Synthetic,$180.00 ,9,$189.99,Milan
133,Adidas,Ultraboost DNA,Running,Women,US 8,Grey,Primeknit,$180.00 ,99,$289.99,Rome
134,Reebok,Classic Nylon,Casual,Men,US 10.5,Black,Nylon,$60.00 ,6,$209.99,Turin
135,Converse,Run Star Hike,Casual,Women,US 8,Cream,Canvas,$110.00 ,61,$169.99,Turin
136,Puma,Suede Classic+,Casual,Men,US 8,Red/White,Suede,$65.00 ,7,$199.99,Florence
137,Vans,Era,Skate,Women,US 7.5,Green,Canvas,$50.00 ,5,$249.99,Bari
138,New Balance,Fresh Foam More v3,Running,Men,US 11,Black/Grey,Mesh/Synthetic,$165.00 ,47,$229.99,Milan
139,Asics,Gel-Quantum 90 3,Running,Women,US 9,Pink,Mesh/Synthetic,$90.00 ,65,$149.99,Bologna
140,Fila,Original Fitness,Casual,Men,US 9.5,White/Navy/Red,Leather,$60.00 ,25,$299.99,Catania
141,Skechers,Go Run Mojo Pep,Running,Women,US 8.5,Black/White,Mesh,$55 ,5,$269.99,Catania
142,Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 ,68,$299.99,Genoa
143,Adidas,NMD_R1,Running,Women,US 8.5,Pink,Primeknit,$130.00 ,59,$159.99,Rome
144,Reebok,Zig Kinetica II,Running,Men,US 9,Blue,Mesh,$120.00 ,64,$159.99,Genoa
145,Converse,Chuck 70,Casual,Women,US 7,Black,Canvas,$85.00 ,34,$159.99,Naples
146,Puma,Clyde All-Pro,Basketball,Men,US 10,White,Leather,$130.00 ,89,$279.99,Turin
147,Vans,Sk8-Hi,Skate,Women,US 9,Black/White,Suede/Canvas,$65.00 ,83,$229.99,Palermo
148,New Balance,574 Classic,Casual,Men,US 10.5,Grey,Suede/Mesh,$80.00 ,14,$149.99,Turin
149,Asics,Gel-Quantum 90 3,Running,Women,US 7.5,Black,Mesh,$70.00 ,30,$119.99,Florence
150,Fila,Mindblower,Fashion,Men,US 11,Grey,Leather/Synthetic,$75.00 ,20,$239.99,Turin
151,Skechers,Max Cushioning Premier,Running,Women,US 7.5,Pink,Mesh,$90.00 ,2,$209.99,Turin
152,Nike,Blazer Mid '77,Casual,Men,US 9.5,White,Leather,$100.00 ,41,$119.99,Turin
153,Adidas,Superstar,Casual,Women,US 7.5,Black/White,Leather,$85.00 ,84,$159.99,Rome
154,Reebok,DMX Thrill,Running,Men,US 10,Black,Mesh,$70.00 ,2,$279.99,Bologna
155,Converse,Jack Purcell,Casual,Women,US 8.5,White,Canvas,$65.00 ,36,$109.99,Catania
156,Puma,Calibrate Runner,Running,Men,US 9.5,Black/Yellow,Mesh,$140.00 ,6,$299.99,Turin
157,Vans,Slip-On,Skate,Women,US 6.5,Checkered,Canvas,$50.00 ,40,$89.99,Florence
158,New Balance,Fresh Foam Beacon V3,Running,Men,US 11,Blue,Mesh,$120.00 ,14,$229.99,Rome
159,Asics,Gel-Venture 8,Trail,Women,US 9.5,Grey,Mesh,$70.00 ,50,$219.99,Catania
160,Fila,F-13,Fashion,Men,US 10,White,Leather,$70.00 ,18,$89.99,Bologna
161,Skechers,Equalizer 4.0,Training,Women,US 8.5,Black,Mesh,$65.00 ,61,$149.99,Turin
162,Nike,KD13,Basketball,Men,US 11,Blue,Mesh,$150.00 ,65,$209.99,Rome
163,Nike,React Infinity Run Flyknit 2,Running,Women,US 9.5,Black/White,Flyknit,$160.00 ,69,$259.99,Milan
164,Adidas,NMD_R1,Lifestyle,Men,US 11.5,Grey,Primeknit,$140.00 ,5,$209.99,Naples
165,Reebok,Aztrek 96,Casual,Women,US 8.5,Yellow/Black,Leather/Synthetic,$90.00 ,25,$209.99,Bari
166,Converse,Jack Purcell,Casual,Men,US 9,Navy/White,Canvas,$70.00 ,52,$99.99,Rome
167,Puma,Calibrate Runner,Running,Men,US 10,Black,Mesh,$100.00 ,76,$219.99,Genoa
168,Vans,Sk8-Hi,Skate,Women,US 7.5,Black/White,Suede/Canvas,$65.00 ,63,$229.99,Bologna
169,New Balance,327,Casual,Men,US 10,Green,Suede/Leather,$90.00 ,17,$269.99,Genoa
170,Asics,GT-2000 10,Running,Women,US 8,Blue,Mesh,$120.00 ,71,$219.99,Catania
171,Fila,Trailblazer,Fashion,Men,US 9,White/Grey,Leather,$85.00 ,19,$209.99,Palermo
172,Skechers,Max Cushioning Premier,Running,Women,US 7,Grey/Pink,Mesh,$105.00 ,31,$269.99,Milan
173,Nike,Blazer Mid '77,Casual,Men,US 8.5,Green,Leather,$100.00 ,15,$209.99,Turin
174,Adidas,Ultraboost 6.0,Running,Women,US 7.5,Black/White,Primeknit,$180.00 ,29,$279.99,Florence
175,Reebok,Classic Nylon,Casual,Men,US 11.5,Blue/White,Nylon,$60.00 ,4,$289.99,Bologna
176,Converse,Pro Leather,Casual,Women,US 9.5,White/Green,Leather,$75.00 ,57,$149.99,Naples
177,Puma,Clyde All-Pro,Basketball,Men,US 9.5,Black,Leather/Synthetic,$130.00 ,15,$299.99,Milan
178,Vans,Era 95 DX,Skate,Women,US 6.5,Black/White,Canvas,$65.00 ,68,$229.99,Florence
179,New Balance,Fresh Foam More v3,Running,Men,US 10,Black/Grey,Mesh,$165.00 ,47,$179.99,Bari
180,Asics,Gel-Quantum 360 6,Running,Women,US 9,Grey/Green,Mesh,$180.00 ,28,$249.99,Genoa
181,Fila,Spaghetti,Basketball,Men,US 10.5,White,Leather,$75.00 ,3,$139.99,Naples
182,Skechers,Uno Bold Move,Casual,Women,US 8.5,Black/White,Synthetic,$70.00 ,100,$139.99,Catania
183,Nike,Air Force 1,Basketball,Men,US 10,White,Leather,$100.00 ,23,$289.99,Rome
184,Adidas,NMD_R1,Lifestyle,Women,US 8,Grey,Primeknit,$140.00 ,70,$199.99,Bari
185,Reebok,Nano X1,Training,Men,US 9.5,Black,Knit,$130.00 ,49,$159.99,Genoa
186,Converse,Jack Purcell,Casual,Women,US 6.5,Navy,Canvas,$65.00 ,21,$299.99,Palermo
187,Puma,Calibrate Runner,Running,Men,US 11,Black,Mesh,$80.00 ,84,$219.99,Turin
188,Vans,Sk8-Hi,Skate,Women,US 7.5,Black/White,Canvas/Suede,$70.00 ,78,$209.99,Milan
189,New Balance,327,Lifestyle,Men,US 10,Beige,Suede/Mesh,$100.00 ,56,$149.99,Bari
190,Asics,Gel-Excite 8,Running,Women,US 9,Pink,Mesh,$75.00 ,48,$219.99,Turin
191,Fila,Memory Fresh 2,Walking,Men,US 10,White,Synthetic,$60.00 ,39,$159.99,Rome
192,Skechers,Energy Burst,Running,Women,US 8,Black,Mesh,$70.00 ,92,$99.99,Florence
193,Nike,Flyknit Trainer,Running,Men,US 10,Black/White,Flyknit,$150.00 ,43,$259.99,Catania
194,Adidas,Ultraboost 4.0,Running,Women,US 7,Blue,Primeknit,$180.00 ,1,$259.99,Genoa
195,Reebok,Floatride Energy,Running,Men,US 10.5,Grey,Mesh,$100.00 ,95,$169.99,Catania
196,Converse,Chuck 70 High,Casual,Women,US 9,Pink,Canvas,$85.00 ,44,$159.99,Catania
197,Puma,Clyde All-Pro,Basketball,Men,US 9,White,Leather,$130.00 ,31,$229.99,Turin
198,Vans,Era,Skate,Women,US 8.5,Black,Canvas,$50.00 ,34,$299.99,Turin
199,New Balance,Fresh Foam Beacon v3,Running,Men,US 12,Blue,Mesh,$120.00 ,56,$269.99,Palermo
200,Asics,Gel-Kayano 27,Running,Women,US 8.5,Black,Mesh,$160.00 ,56,$239.99,Florence
201,Fila,Trailblazer,Fashion,Men,US 11,Black,Leather,$75.00 ,95,$99.99,Rome
202,Skechers,Equalizer 4.0,Walking,Women,US 7,Grey,Mesh,$60.00 ,92,$259.99,Bologna
203,Nike,Blazer Mid '77,Casual,Men,US 9.5,White/Red/Navy,Leather,$100.00 ,90,$179.99,Turin
204,Adidas,Superstar,Casual,Women,US 7.5,White/Black,Leather,$80.00 ,55,$229.99,Rome
205,Reebok,Zig Kinetica,Running,Men,US 11.5,White/Black,Mesh,$120.00 ,62,$199.99,Bari
206,Converse,Jack Purcell,Casual,Men,US 8.5,White/Navy,Canvas,$70.00 ,88,$239.99,Turin
207,Puma,Suede Classic,Casual,Women,US 8.5,Pink,Suede,$65.00 ,97,$149.99,Florence
208,Vans,Sk8-Hi,Skate,Men,US 10,Black/White,Canvas,$70.00 ,30,$199.99,Milan
209,New Balance,Fresh Foam More,Running,Women,US 9,Grey/Purple,Mesh,$165.00 ,22,$279.99,Genoa
210,Asics,Gel-Kayano 27,Running,Men,US 10.5,Black/Green,Mesh,$160.00 ,96,$289.99,Palermo
211,Fila,Trailblazer,Fashion,Women,US 7,Cream,Synthetic,$75.00 ,23,$189.99,Palermo
212,Skechers,D'Lites Fresh Start,Walking,Men,US 9.5,White/Black,Leather,$70.00 ,30,$119.99,Milan
213,Nike,Air Force 1,Casual,Women,US 8.5,White/Red,Leather,$90.00 ,1,$139.99,Catania
214,Adidas,NMD_R1,Casual,Men,US 9,Black/White,Primeknit,$130.00 ,37,$199.99,Naples
215,Reebok,Club C 85 MU,Casual,Men,US 11,White/Black,Leather,$75.00 ,1,$249.99,Milan
216,Converse,Chuck 70,Casual,Women,US 8.5,Cream,Canvas,$85.00 ,88,$259.99,Turin
217,Puma,Calibrate Runner,Running,Men,US 8.5,Black/Blue,Mesh,$120.00 ,17,$219.99,Milan
218,Vans,Era,Skate,Women,US 7,Pink/White,Canvas,$50.00 ,64,$209.99,Naples
219,New Balance,FuelCell Propel v2,Running,Men,US 9,Blue/Green,Mesh,$100.00 ,3,$169.99,Florence
220,Asics,Gel-Cumulus 23,Running,Women,US 8.5,Pink/White,Mesh,$120.00 ,47,$249.99,Rome
221,Fila,Mindblower,Fashion,Men,US 10,White/Black,Synthetic,$75.00 ,83,$119.99,Palermo
222,Nike,Air Force 1,Casual,Men,US 11,White,Leather,$90.00 ,14,$109.99,Palermo
223,Adidas,NMD_R1,Lifestyle,Women,US 8,Pink,Primeknit,$140.00 ,29,$209.99,Milan
224,Reebok,Nano X1,Training,Men,US 9.5,Grey,Knit,$130.00 ,73,$179.99,Turin
225,Converse,All Star Hi,Casual,Women,US 7,Black,Canvas,$60.00 ,62,$119.99,Turin
226,Puma,Calibrate Runner,Running,Men,US 10.5,Blue,Mesh,$90.00 ,100,$139.99,Bari
227,Vans,Sk8-Hi,Skate,Women,US 6,Red/White,Canvas,$70.00 ,22,$109.99,Florence
228,New Balance,327,Lifestyle,Men,US 8.5,Green,Suede/Mesh,$100.00 ,67,$159.99,Bari
229,Asics,Gel-Quantum 180,Running,Women,US 7.5,Grey,Mesh,$120.00 ,37,$239.99,Genoa
230,Fila,Mindblower,Fashion,Men,US 9,White,Leather,$70.00 ,78,$229.99,Bari
231,Skechers,Max Cushioning,Walking,Women,US 9,Black,Mesh,$75.00 ,30,$89.99,Bari
232,Nike,React Infinity Run Flyknit,Running,Men,US 12,Black,Flyknit,$160.00 ,33,$219.99,Rome
233,Adidas,Adilette Comfort,Slides,Women,US 6,Black,Synthetic,$35.00 ,54,$209.99,Naples
234,Reebok,Classic Nylon,Casual,Men,US 10,Grey,Nylon,$65.00 ,3,$129.99,Milan
235,Converse,Chuck 70,Casual,Women,US 8,Cream,Canvas,$85.00 ,36,$109.99,Catania
236,Puma,RS-X3 Puzzle,Lifestyle,Men,US 8.5,Black/Yellow,Synthetic,$110.00 ,75,$279.99,Bari
237,Vans,Era,Skate,Women,US 7,Pink,Canvas,$55.00 ,42,$199.99,Catania
238,New Balance,990v4,Running,Men,US 9.5,Grey,Suede/Mesh,$175.00 ,75,$229.99,Bari
239,Asics,GT-2000 10,Running,Women,US 9,Blue,Mesh,$120.00 ,86,$279.99,Bari
240,Fila,D-Formation,Fashion,Men,US 11,White,Leather,$65.00 ,68,$289.99,Palermo
241,Skechers,Equalizer 4.0,Training,Women,US 8.5,Black,Knit,$70.00 ,67,$149.99,Rome
242,Nike,Air Zoom Pegasus 38,Running,Men,US 10.5,Blue,Mesh,$120.00 ,65,$189.99,Genoa
243,Nike,Air Force 1 '07,Basketball,Men,US 11,White,Leather,$90.00 ,3,$229.99,Turin
244,Adidas,Yeezy Boost 350 V2,Fashion,Men,US 9,Zebra,Primeknit,$220.00 ,50,$229.99,Rome
245,Reebok,Nano X1 Adventure,Training,Men,US 10,Khaki,Textile/Leather,$130.00 ,60,$169.99,Naples
246,Converse,Jack Purcell Low,Casual,Women,US 7.5,Pink,Canvas,$65.00 ,71,$109.99,Turin
247,Puma,Clyde All-Pro,Basketball,Men,US 10.5,Black/White,Leather/Suede,$130.00 ,55,$139.99,Milan
248,Vans,Sk8-Hi,Skate,Women,US 9,Checkerboard,Canvas,$70.00 ,28,$199.99,Rome
249,New Balance,Fresh Foam Hierro v6,Trail,Men,US 9.5,Grey/Yellow,Synthetic/Mesh,$135.00 ,29,$189.99,Turin
250,Asics,Gel-Quantum 180 5,Running,Women,US 8,Pink,Mesh,$120.00 ,80,$129.99,Rome
251,Fila,D-Formation,Fashion,Men,US 11,Black,Leather,$65.00 ,39,$249.99,Bari
252,Skechers,Arch Fit Refine,Walking,Women,US 6.5,Navy,Mesh,$65.00 ,98,$259.99,Florence
253,Nike,Air Zoom Pegasus 38,Running,Men,US 12,Blue,Mesh,$120.00 ,91,$209.99,Turin
